genus	species	N	family	life style disparat	life style broad	diet	diet broad		chisel	methode	body mass	SD	bite force	SD	reference	logmass	logBF
Fukomys	whytei	8	Bathyergidae	subterranean	Subterranean	root	phytophagous	(G)	YES	Piezo	82,64	18,64	22,96	12,63	Gomes Rodrigues et al. 2023	1,91717717016902	1,3609413817902
Nannospalax	galili	36	Spalacidae	subterranean	Subterranean	Onions-tubers	phytophagous		YES	Piezo	161,36	31,64	43,08	9,53	Gomes Rodrigues et al. 2023	2,20779139940975	1,63432329728751
Spalacopus	cyanus	7	Octodontidae	subterranean	Subterranean	root	phytophagous	(S)	YES	Piezo	95,99	22,76	25,65	6,36	Gomes Rodrigues et al. 2023	1,98220660107548	1,40911155671536
Onychomys	leucogaster	10	Cricetidae	terrestrial	Terrestrial	invertebrate-vertebrate-seed-leaf	omnivorous	(A)	NO	strain gauge	49,85		13,48	5,7	Williams et al 2009	1,69766516264767	1,1296898921993
Mus	musculus	1861	Muridae	terrestrial	Terrestrial		omnivorous	(P)	NO	Piezo	21,90593	4,671316	8,85184	1,941228	Ginot et al. 2020	1,34056169555549	0,947033555306609
Mus	minutoides	56	Muridae	terrestrial	Terrestrial				NO	Piezo	7,763636	1,900035	3,388021	1,083576	Ginot et al. 2017	0,890065165189118	0,529946093558272
Mus	mattheyi	17	Muridae	terrestrial	Terrestrial				NO	Piezo	5,305882	0,7652374	2,479167	0,3723751	This study, S. Ginot	0,724757587274899	0,394305782409475
Berylmys	berdmorei	1	Muridae	terrestrial	Terrestrial				NO	Piezo	180		21,2625		Ginot et al 2018b	2,25527250510331	1,32761432662063
Berylmys	bowersi	2	Muridae	terrestrial	Terrestrial	Plants-invertebrates	omnivorous	(P)	NO	Piezo	205,6	76,933218	22,3125	7,2183817	Ginot et al 2018b	2,31302311032324	1,34854823345627
Maxomys	surifer	7	Muridae	terrestrial	Terrestrial		omnivorous	(P)	NO	Piezo	123,48571	22,309596	20,604167	4,4546409	Ginot et al 2018b	2,09161670312425	1,31395506124759
Mus	caroli	4	Muridae	terrestrial	Terrestrial		omnivorous	(P)	NO	Piezo	10125	1,800694	4,265625	1,1745092	Ginot et al 2018b	1,00539503188671	0,629982673056869
Mus	cervicolor	47	Muridae	terrestrial	Terrestrial		omnivorous	(P)	NO	Piezo	12,30233	2,734044	6,117391	1,6186076	Ginot et al 2018b	1,08998737244036	0,786566239810462
Mus	cookii	7	Muridae	terrestrial	Terrestrial		omnivorous	(P)	NO	Piezo	19,25714	3,84918	5,9625	1,9463775	Ginot et al 2018b	1,28459178774966	0,77542839204817
Mus	fragilicauda	3	Muridae	terrestrial	Terrestrial		omnivorous	(P)	NO	Piezo	13	5,896609	4,083333	0,5464373	Ginot et al 2018b	1,11394335230684	0,611014798528277
Mus	pahari	3	Muridae	terrestrial	Terrestrial		omnivorous	(A)	NO	Piezo	21,1	4,7571	5,872222	1,5721167	Ginot et al 2018b	1,32428245529769	0,768802465769135
Niviventer	fulvescens	9	Muridae	arboreal	Scansorial	Fruit-seed	phytophagous	(G)	NO	Piezo	64,9875	20,526042	17,626389	7,6562639	Ginot et al 2018b	1,81282983044164	1,24616335041615
Rattus	andamanensis	1	Muridae	terrestrial					NO	Piezo	159,2		26,979167		Ginot et al 2018b	2,20194306340165	1,43102853640748
Rattus	exulans	38	Muridae	terrestrial	Terrestrial		omnivorous	(P)	NO	Piezo	34,13	13,538919	7,573086	2,9182479	Ginot et al 2018b	1,53313628827864	0,879272888702782
Rattus	tanezumi	28	Muridae	terrestrial	Terrestrial		omnivorous	(P)	NO	Piezo	77,66667	32,36383	23,907292	6,7970134	Ginot et al 2018b	1,8902346849456	1,37853038598354
Vandeleuria	oleracea	1	Muridae	arboreal	Arboreal	fruits-buds-flowers	phytophagous	(G)	NO	Piezo	8,9		6,941667		Ginot et al 2018b	0,949390006644913	0,841463776213639
