Capromys pilorides,Capromys,pilorides,CBUN,CSB009,Cap_pil_CSB009_skull_1500_1560_2669_00401186_skull.lmk
Cavia porcellus,Cavia,porcellus,UM,499V(572N?),CAVporc_UM499V_skull.lmk
Chaetodipus formosus,Chaetodipus,formosus,UWBM,37577,Chaetodipus_UWBM_37577_all.lmk
Chinchilla lanigera,Chinchilla,lanigera,NHMUK,1926.7.10.32,Chi_lan_NHM_notregistered_skull_1332_1387_2412_00266541.resampled.lmk
Chiropodomys major,Chiropodomys,major,EBD,BORN678,Chiro_BOR678_skull_1592_1459_2758_00113918.resampled.lmk
Chrotomys mindorensis,Chrotomys,mindorensis,FMNH,222107,Chrotomys_mindorensis_222107_36_756_748_1417.lmk
Coccymys ruemmleri,Coccymys,ruemmleri,CBUN,MW3700-027,Coccymys_MW_3700027_skull.resampled.lmk
Coendou prehensilis,Coendou,prehensilis,JAGUARS,M5167,Coe_pre_M5167_skull_1541_1592_2382_00401775_skull.resampled.lmk
Colomys goslingi,Colomys,goslingi,FMNH,207491,Colomys_goslingi_FMNH_207491_skull_2662_1759_1759_00153796.resampled.lmk
Cricetomys gambianus,Cricetomys,gambianus,CBGP,KB6336,CRIgamb_KB36336.lmk
Cryptomys hottentotus,Cryptomys,hottentotus,CBUN,CHPB,Cry_hot_CHPB_skull_1738_1643_1624_00240919.resampled.lmk
Ctenodactylus vali,Ctenodactylus,vali,UM,N782-2008,CTEvali_UMN782_2008.lmk
Ctenomys talarum,Ctenomys,talarum,NHMUK,9.12.1.68-70,Cte_tal_NHM_9_12_1_68_70_skull_1643_1484_2308_00185693_skull.lmk
Cuniculus paca,Cuniculus,paca,JAGUARS,M5329,Cun_pac_M5329_skull_1345_1554_2609_00409596_skull.lmk
Spermophilus citellus,Spermophilus,citellus,UM,unreg,CYNsp_Poitevin_nonb.lmk
Dactylomys dactylinus,Dactylomys,dactylinus,LMUSP(Brazil),RBM1232,Dac_sp_RBM_1232skull_1451_1402_2503_00292547.resampled.lmk
