"","mass","length","pcsa","lsr_mass","lsr_length","lsr_pcsa"
"Castor fiber MB no number",6.0246,2.158530612,2.63308051971254,-0.73202452038556,0.0420273897795318,-0.768930698035855
"Rhynchomys soricoides FMNH ""Rhy2""",0.0434,0.3714074074,0.110238502007903,0.0120518358725728,-0.354057843966599,0.378055778097763
"Gerbilliscus angolae CBUN ANG0104",0.0192,0.4329756098,0.0418342445560309,-0.951417595950371,0.15825629503783,-1.07792220355484
"Tachyoryctes splendens RMCA 1980.055.M.0189",0.1239,0.8829411765,0.132383442480474,-0.856478264788713,0.103520875458185,-0.94758570511708
"Microhydromys sp. CBUN MW1200-008",0.0033,0.20816,0.0149558394848665,-0.122482687636701,0.329874112030577,-0.438592377835825
"Calomyscus baluchi USNM 429373",0.0082,0.3801086957,0.020351676097169,-0.694662721084601,0.125542474459524,-0.805799812804285
"Platacanthomys lasiurus NHM 1915.2.12.1-2",0.0115,0.7080526316,0.0153223872344882,-1.06395173739006,0.498179669500328,-1.55263996134786
"Atherurus africanus CBUN CSB012",0.6802,1.151631579,0.557207812731876,-0.782087407565056,0.189209084559963,-0.970451891035627
"Perognathus longimembris UWBM 37550",0.003,0.1896363636,0.014924293134069,-0.0788664200237095,0.094311239600184,-0.173031271983874
"Praomys sp. MNHN-ZM-MO 1997-381",0.0185,0.4701666667,0.0371205179456403,-0.886254610159108,0.217164940431159,-1.07594065175122
"Anisomys imitator CBUN FR2200_020",0.1363,0.6049649123,0.212549361204295,-1.08475680624574,0.0192236258144661,-1.08488495225638
"Millardia meltada MNHN-ZM-MO 2009-658",0.025,0.4344142857,0.0542912754868857,-0.829788936344775,0.0578582798669115,-0.869852336274018
"Baiyankamys shawmayeri CBUN MW3200_209",0.0191,0.2895,0.0622413399810995,-0.211123025448443,0.0452699260239716,-0.249261778169638
"Dinaromys bogdanovi MNHN-ZM-MO HERREL",0.0281,0.5340638298,0.0496372015535888,-0.866429081306471,0.0391554836230966,-0.88580325787007
"Golunda ellioti NHM 1892.1.9.32",0.0282,0.4749555556,0.0560131853838361,-0.867200438991038,0.0609503213372182,-0.920623206137185
"Eospalax fontanierii NHM 1909.1.1.286",0.0759,0.59058,0.121243139938545,-0.794338274597052,0.0196848305100178,-0.791083791778543
"Crateromys heaneyi CBUN nonb",0.3176,1.184326531,0.252989892286246,-0.687047007192541,0.365845550308811,-1.05379813410186
"Pattonomys semivillosus USNM 496485",0.0804,0.89971875,0.0843030742704579,-0.517288258210835,0.1655107025551,-0.650619521796371
"Deomys ferrugineus MNHN-ZM-MO 709?",0.0152,0.51992,0.0275804405322154,-0.830062802819161,0.0953210256083899,-0.905452981183186
"Abeomelomys sevia CBUN MW3200_139",0.0243,0.421828125,0.0543456610482926,-0.927010077740197,0.110797711256562,-1.02477081903687
"Vandeleuria oleracea THAILAND no number",0.0036,0.3867777778,0.00878082095205196,-1.10056324588986,0.530389755164658,-1.61575078221618
"Chiropodomys major EBD BORN678",0.0126,0.4126190476,0.0288081525125167,-0.904906319810954,0.30724661017252,-1.1999246277635
"Hybomys sp. MNHN-ZM-MO 1997-848",0.0124,0.5306111111,0.0220464912302647,-1.00062704305379,0.288558365145067,-1.28637293288028
"Calomyscus baluchi USNM 429369",0.009,0.4135405405,0.0205313994789245,-0.679004959287082,0.155099840928557,-0.813213182750868
"Spalax sp. CBUN 961",0.0765,0.5422545455,0.133092127893937,-0.635417029712992,-0.0198169738399475,-0.610892457478868
"Mallomys sp. CBUN MW3200_048",0.3297,0.7584545455,0.410094102137669,-1.17324245306214,0.165972491324965,-1.34191969755562
"Lophuromys sikapusi MNHN-ZM-MO 2013-260",0.0361,0.55148,0.0617549208921174,-0.151727425409607,0.175707107736775,-0.306991251465157
"Phloeomys pallidus CBUN nonb2",0.2945,1.113212121,0.249575245757897,-0.827746739828145,0.297613457467697,-1.11128992479136
