"","DM","ePT","iPT","SM","T","ZM"
"Chiropodomys gliroides BORN014",0.0362,0.0058,0.0077,0.0152,0.0171,0.0099
"Chiropodomys major BORN678",0.0763,0.0158,0.0143,0.0376,0.0586,0.0223
"Chrotomys mindorensis FMNH 222107",0.2028,0.0597,0.0568,0.0829,0.1683,0.0412
"Chrotomys mindorensis FMNH 222111",0.211,0.0428,0.0625,0.1025,0.1522,0.049
"Cryptomys hottentotus CHHB",0.862,0.0755,0.1275,0.6334,0.74495,0.21225
"Cryptomys hottentotus CHMR3",0.28915,0.0338,0.04385,0.1582,0.30425,0.09365
"Cryptomys hottentotus CHPA",0.6277,0.0512,0.12175,0.46255,0.4593,0.2011
"Cryptomys hottentotus CHPB",1.73635,0.1026,0.15175,1.0527,0.9273,0.2837
"Deomys ferrugineus MNHN-ZM-MO",0.0431,0.0157,0.0242,0.0255,0.0403,0.0181
"Dipodomys merriami UWBM 37549",0.0952,0.0092,0.0201,0.0223,0.0051,0.044
"Echiothrix leucura kcr2456",0.1564,0.0624,0.0768,0.043,0.1125,0.0419
"Echiothrix sp. SUISSE",0.0514,0.0306,0.0309,0.0213,0.0448,0.0216
"Fukomys anselli Fans 840. Transp. 9679",0.3454,0.1156,0.04535,0.4255,0.21005,0.18595
"Fukomys anselli Fans 864. Transp. 8543 right",0.47815,0.0556,0.1201,0.51845,0.39365,0.18615
"Fukomys anselli Fans 867. Transp. 8346 left",0.3229,0.0542,0.07285,0.2545,0.3314,0.14165
"Fukomys anselli Fans Transp. 9746",0.25125,0.03505,0.05495,0.27625,0.24875,0.0855
"Fukomys damarensis FDA",1.9995,0.18135,0.23145,1.46055,1.47765,0.40555
"Fukomys damarensis FDC",1.2122,0.11395,0.17815,1.24415,0.86345,0.3306
"Fukomys damarensis FDD",1.21235,0.10295,0.1732,1.23765,1.04355,0.3315
"Fukomys darlingi Fdarl 813, Transp. 2345",0.245,0.0473,0.08845,0.35025,0.2767,0.13325
"Fukomys darlingi Fdarl 824. Transp. 4396",0.5235,0.0512,0.08005,0.992,0.68015,0.27655
"Fukomys darlingi Fdarl 837",0.2333,0.06805,0.0667,0.30075,0.2051,0.1255
"Fukomys darlingi Fdarl 845. Transp. 8446",0.2871,0.0352,0.08795,0.3234,0.3139,0.11835
"Fukomys mechowii Fmech 586 Transp. 0262",0.1341,0.01975,0.0468,0.1775,0.13395,0.08295
