Clade,Family,Subfamily,Species,Collection,Specimen number,Muscles dataset,Landmarks dataset,Life style
Supramyomorpha,Muridae,Murinae,Paucidentomys vermidax,?,hh766,YES,NO,NA
Hystricomorpha,Ctenodactylidae,,Pectinator spekei,Natural History Museum (London),NHM 1905.11.4.22,YES,YES,terrestrial
Supramyomorpha,Pedetidae,,Pedetes capensis,University of South Bohemia,CESKE CBS 1,YES,YES,burrower
Supramyomorpha,Heteromyidae,Perognathinae,Perognathus longimembris,Burke Museum of Natural History and Culture (Seattle),UWBM 37550,YES,YES,burrower
Supramyomorpha,Cricetidae,Neotomyinae,Peromyscus leucopus,Muséum National d’Histoire Naturelle (Paris),MNHN 1874-85 bis A,NO,YES,terrestrial
Sciuromorpha,Sciuridae,Sciurinae,Petinomys sp.,Natural History Museum (London),NHM 1903.11.2.5,YES,YES,arboreal
Hystricomorpha,Petromuridae,,Petromus typicus,Natural History Museum (London),NHM 1928.9.11.502,YES,YES,terrestrial
Supramyomorpha,Nesomyidae,Petromyscinae,Petromyscus sp.,University of South Bohemia,CBUN ANG0154,YES,YES,terrestrial
Supramyomorpha,Nesomyidae,Petromyscinae,Petromyscus sp.,University of South Bohemia,CBUN ANG0162,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Phloeomys pallidus,University of South Bohemia,CBUN nonb2,YES,NO,arboreal
Supramyomorpha,Cricetidae,Cricetinae,Phodopus sp.,University of South Bohemia,CBUN -,YES,YES,burrower
Supramyomorpha,Platacanthomyidae,,Platacanthomys lasiurus,Natural History Museum (London),NHM 1915.2.12.1-2,YES,YES,arboreal
Supramyomorpha,Muridae,Murinae,Pogonomelomys sp.,University of South Bohemia,CBUN FR2200-039,YES,YES,NA
Supramyomorpha,Muridae,Murinae,Pogonomys sp.,University of South Bohemia,CBUN MW-1700-033,NO,YES,arboreal
Supramyomorpha,Muridae,Murinae,Pogonomys sp.,University of South Bohemia,CBUN MW-1200-027,YES,NO,arboreal
Supramyomorpha,Muridae,Murinae,Pogonomys macrourus,?,MV C2126,NO,YES,arboreal
Supramyomorpha,Muridae,Murinae,Praomys sp.,Muséum National d’Histoire Naturelle (Paris),MNHN 1997-381,YES,YES,terrestrial
Hystricomorpha,Echimyidae,Eumysopinae,Proechimys guyannensis,?,M1199,YES,YES,terrestrial
Hystricomorpha,Echimyidae,Eumysopinae,Proechimys cuvieri,Muséum National d’Histoire Naturelle (Paris),MNHN V3651,NO,YES,terrestrial
Hystricomorpha,Echimyidae,Eumysopinae,Proechimys cuvieri,?,JAGUARS M3091,NO,YES,terrestrial
Supramyomorpha,Cricetidae,Arvicolinae,Prometheomys schaposchnikowi,University of South Bohemia,CBUN FV19,NO,YES,subterranean
Sciuromorpha,Sciuridae,Xerinae,Protoxerus stangeri,Royal Museum for Central Africa (Tervuren),RMCA 1980.036.M.0054,YES,YES,arboreal
Supramyomorpha,Muridae,Murinae,Pseudohydromys ellermani,University of South Bohemia,CBUN FR 2200-043,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Pseudohydromys murinus,University of South Bohemia,CBUN MW 2700-106,YES,YES,NA
Supramyomorpha,Muridae,Murinae,Pseudomys australis,?,MV C4544,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Pseudomys fumeus,?,MV C27811,NO,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus andamanensis,Université de Montpellier,7216,YES,NO,NA
Supramyomorpha,Muridae,Murinae,Rattus baluensis,?,EBD BOR210,YES,YES,NA
Supramyomorpha,Muridae,Murinae,Rattus exulans,Université de Montpellier,7288,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus exulans,Université de Montpellier,7298,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus exulans,Université de Montpellier,7306,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus fuscipes,?,MV C17053,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus norvegicus,Université de Montpellier,UM Paul Gervais,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus tanezumi,Université de Montpellier,7206,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus tanezumi,Université de Montpellier,7208,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus tanezumi,Université de Montpellier,7217,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus tanezumi,Université de Montpellier,7257,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus tanezumi,Université de Montpellier,7270,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus tanezumi,Université de Montpellier,7273,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus tanezumi,Université de Montpellier,7284,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus tanezumi,Université de Montpellier,7302,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rattus tanezumi,Museum Zoologicum Bogoriense,MZB,YES,NO,terrestrial
Sciuromorpha,Sciuridae,Ratufinae,Ratufa sp.,Natural History Museum (London),NHM 2022.24,YES,YES,arboreal
Supramyomorpha,Cricetidae,Neotomyinae,Reithrodontomys megalotis,Burke Museum of Natural History and Culture (Seattle),UWBM 74514,YES,YES,terrestrial
Sciuromorpha,Sciuridae,Callosciurinae,Rhinosciurus robinsoni,Natural History Museum (London),NHM 1915.12.28.6,YES,YES,arboreal
Supramyomorpha,Muridae,Murinae,Rhynchomys isarogensis,National Museum of Natural History (Washington DC),USNM 573913,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Rhynchomys soricoides,Field Museum of Natural History (Chicago),FMNH 193833,YES,NO,terrestrial
Supramyomorpha,Muridae,Murinae,Rhynchomys soricoides,Field Museum of Natural History (Chicago),FMNH 193836,YES,YES,terrestrial
Supramyomorpha,Muridae,Murinae,Rhynchomys soricoides,Field Museum of Natural History (Chicago),"FMNH ""Rhy2""",YES,NO,terrestrial
Supramyomorpha,Nesomyidae,Cricetomyinae,Saccostomus campestris,Université de Montpellier,UM TDR106,YES,NO,terrestrial
Supramyomorpha,Dipodidae,Cardiocraniinae,Salpingotulus michaelis,Natural History Museum (London),NHM 65.4168,YES,YES,terrestrial
Sciuromorpha,Sciuridae,Sciurillinae,Sciurillus pusillus,Natural History Museum (London),NHM 1932.8.4.16,YES,YES,arboreal
Sciuromorpha,Sciuridae,Sciurinae,Sciurus aestuans,Muséum National d’Histoire Naturelle (Paris),MNHN 1902-46A,YES,YES,arboreal
Sciuromorpha,Sciuridae,Sciurinae,Sciurus vulgaris,Muséum d’Histoire Naturelle de Bourges,MB 2022.2.12,YES,YES,arboreal
Sciuromorpha,Sciuridae,Sciurinae,Sciurus vulgaris,Muséum d’Histoire Naturelle de Bourges,MB 2023.2.14,YES,NO,arboreal
Sciuromorpha,Sciuridae,Sciurinae,Sciurus vulgaris,Muséum d’Histoire Naturelle de Bourges,MB 2022.2.15,YES,YES,arboreal
